"Banco de México"

"Tipos de cambio y resultados históricos de las subastas"
"Serie histórica diaria del tipo de cambio peso-dólar"

"Fecha de consulta: 03/09/2017 06:50:24"

""

"Título","Serie histórica del tipo de cambio, Tipo de cambio peso dólar desde 1954"
"Periodo disponible","19/04/1954 - 01/09/2017"
"Periodicidad","Diaria"
"Cifra","Tipo de Cambio"
"Unidad","Pesos por Dólar"
"Base",""
"Aviso",""
"Tipo de información","Niveles"
"Fecha","SF63528"
05/11/2014,13.60700
06/11/2014,13.61730
07/11/2014,13.55730
10/11/2014,13.55280
11/11/2014,13.58740
12/11/2014,13.56130
13/11/2014,13.59950
14/11/2014,13.53480
18/11/2014,13.54450
19/11/2014,13.61460
20/11/2014,13.61150
21/11/2014,13.61520
24/11/2014,13.63740
25/11/2014,13.64200
26/11/2014,13.72190
27/11/2014,13.76670
28/11/2014,13.89650
01/12/2014,13.92620
02/12/2014,14.07600
03/12/2014,14.09180
04/12/2014,14.11650
05/12/2014,14.30450
08/12/2014,14.40420
09/12/2014,14.36740
10/12/2014,14.51810
11/12/2014,14.66480
15/12/2014,14.78530
16/12/2014,14.74990
17/12/2014,14.60280
18/12/2014,14.55620
19/12/2014,14.63780
22/12/2014,14.63590
23/12/2014,14.70080
24/12/2014,14.74290
26/12/2014,14.69550
29/12/2014,14.71800
30/12/2014,14.73480
31/12/2014,14.74140
02/01/2015,14.82900
05/01/2015,14.94690
06/01/2015,14.84790
07/01/2015,14.79360
08/01/2015,14.62740
09/01/2015,14.58040
12/01/2015,14.63980
13/01/2015,14.55590
14/01/2015,14.56440
15/01/2015,14.58210
16/01/2015,14.62230
19/01/2015,14.65240
20/01/2015,14.64840
21/01/2015,14.69830
22/01/2015,14.61200
23/01/2015,14.64990
26/01/2015,14.58870
27/01/2015,14.58720
28/01/2015,14.68780
29/01/2015,14.84140
30/01/2015,14.98850
03/02/2015,14.75660
04/02/2015,14.80110
05/02/2015,14.75480
06/02/2015,14.90240
09/02/2015,14.80140
10/02/2015,14.93090
11/02/2015,15.10990
12/02/2015,14.91670
13/02/2015,14.86050
16/02/2015,14.89790
17/02/2015,14.89710
18/02/2015,14.94730
19/02/2015,14.95830
20/02/2015,15.07570
23/02/2015,15.08320
24/02/2015,14.97120
25/02/2015,14.92280
26/02/2015,14.96240
27/02/2015,14.95530
02/03/2015,14.98620
03/03/2015,14.95440
04/03/2015,15.07560
05/03/2015,15.16860
06/03/2015,15.44450
09/03/2015,15.45440
10/03/2015,15.58370
11/03/2015,15.44550
12/03/2015,15.40030
13/03/2015,15.48920
17/03/2015,15.42710
18/03/2015,15.41920
19/03/2015,15.29600
20/03/2015,15.03170
23/03/2015,14.96440
24/03/2015,14.93470
25/03/2015,14.95240
26/03/2015,15.10560
27/03/2015,15.15420
30/03/2015,15.24270
31/03/2015,15.26470
01/04/2015,15.12060
06/04/2015,14.80030
07/04/2015,14.90390
08/04/2015,14.90720
09/04/2015,15.05540
10/04/2015,15.17060
13/04/2015,15.29470
14/04/2015,15.23390
15/04/2015,15.38910
16/04/2015,15.24550
17/04/2015,15.31280
20/04/2015,15.39730
21/04/2015,15.38370
22/04/2015,15.45180
23/04/2015,15.35390
24/04/2015,15.38340
27/04/2015,15.32130
28/04/2015,15.22250
29/04/2015,15.20430
30/04/2015,15.37140
04/05/2015,15.49400
05/05/2015,15.32250
06/05/2015,15.28250
07/05/2015,15.33970
08/05/2015,15.14240
11/05/2015,15.26240
12/05/2015,15.32110
13/05/2015,15.22130
14/05/2015,15.12350
15/05/2015,15.02250
18/05/2015,15.12000
19/05/2015,15.20080
20/05/2015,15.21200
21/05/2015,15.23260
22/05/2015,15.29180
25/05/2015,15.26350
26/05/2015,15.32350
27/05/2015,15.35810
28/05/2015,15.37370
29/05/2015,15.38150
01/06/2015,15.48450
02/06/2015,15.41280
03/06/2015,15.48330
04/06/2015,15.53470
05/06/2015,15.69580
08/06/2015,15.67150
09/06/2015,15.56450
10/06/2015,15.47790
11/06/2015,15.44090
12/06/2015,15.41290
15/06/2015,15.43270
16/06/2015,15.41920
17/06/2015,15.41990
18/06/2015,15.28280
19/06/2015,15.32740
22/06/2015,15.30720
23/06/2015,15.40880
24/06/2015,15.45550
25/06/2015,15.48160
26/06/2015,15.56760
29/06/2015,15.65990
30/06/2015,15.68540
01/07/2015,15.78290
02/07/2015,15.68210
03/07/2015,15.69180
06/07/2015,15.75300
07/07/2015,15.82810
08/07/2015,15.81740
09/07/2015,15.78560
10/07/2015,15.73290
13/07/2015,15.74040
14/07/2015,15.67280
15/07/2015,15.74700
16/07/2015,15.80140
17/07/2015,15.91210
20/07/2015,15.98560
21/07/2015,15.97280
22/07/2015,16.09500
23/07/2015,16.09880
24/07/2015,16.23640
27/07/2015,16.26810
28/07/2015,16.26380
29/07/2015,16.21400
30/07/2015,16.45120
31/07/2015,16.07720
03/08/2015,16.11290
04/08/2015,16.17360
05/08/2015,16.37620
06/08/2015,16.35330
07/08/2015,16.16450
10/08/2015,16.16520
11/08/2015,16.32410
12/08/2015,16.29760
13/08/2015,16.35410
14/08/2015,16.36580
17/08/2015,16.39930
18/08/2015,16.43170
19/08/2015,16.49080
20/08/2015,16.71820
21/08/2015,16.91710
24/08/2015,17.09750
25/08/2015,16.98590
26/08/2015,17.10650
27/08/2015,16.88630
28/08/2015,16.76840
31/08/2015,16.78290
01/09/2015,16.86920
02/09/2015,16.94440
03/09/2015,16.79180
04/09/2015,16.84540
07/09/2015,16.98800
08/09/2015,16.79790
09/09/2015,16.77730
10/09/2015,16.81030
11/09/2015,16.82610
14/09/2015,16.81680
15/09/2015,16.77160
17/09/2015,16.56800
18/09/2015,16.53900
21/09/2015,16.68650
22/09/2015,16.87130
23/09/2015,17.04530
24/09/2015,17.11490
25/09/2015,16.95950
28/09/2015,17.00730
29/09/2015,17.07710
30/09/2015,16.90530
01/10/2015,16.85660
02/10/2015,16.81620
05/10/2015,16.69410
06/10/2015,16.68780
07/10/2015,16.57620
08/10/2015,16.54640
09/10/2015,16.41800
12/10/2015,16.42190
13/10/2015,16.58480
14/10/2015,16.58040
15/10/2015,16.42500
16/10/2015,16.39590
19/10/2015,16.48990
20/10/2015,16.56180
21/10/2015,16.66000
22/10/2015,16.52840
23/10/2015,16.51380
26/10/2015,16.49980
27/10/2015,16.55450
28/10/2015,16.45030
29/10/2015,16.62190
30/10/2015,16.52440
03/11/2015,16.41960
04/11/2015,16.51470
05/11/2015,16.59590
06/11/2015,16.83820
09/11/2015,16.87000
10/11/2015,16.76580
11/11/2015,16.71730
12/11/2015,16.74060
13/11/2015,16.73950
17/11/2015,16.75700
18/11/2015,16.76360
19/11/2015,16.57480
20/11/2015,16.51200
23/11/2015,16.53060
24/11/2015,16.47050
25/11/2015,16.55480
26/11/2015,16.54920
27/11/2015,16.57840
30/11/2015,16.58560
01/12/2015,16.51040
02/12/2015,16.59330
03/12/2015,16.70950
04/12/2015,16.67570
07/12/2015,16.90440
08/12/2015,17.01640
09/12/2015,17.01600
10/12/2015,17.07500
11/12/2015,17.35920
14/12/2015,17.37760
15/12/2015,17.15290
16/12/2015,17.13600
17/12/2015,17.10000
18/12/2015,17.01390
21/12/2015,17.10340
22/12/2015,17.18470
23/12/2015,17.19530
24/12/2015,17.27600
28/12/2015,17.27100
29/12/2015,17.20650
30/12/2015,17.33980
31/12/2015,17.24870
04/01/2016,17.35290
05/01/2016,17.34560
06/01/2016,17.44110
07/01/2016,17.65680
08/01/2016,17.92830
11/01/2016,17.93040
12/01/2016,17.91190
13/01/2016,17.85000
14/01/2016,17.91210
15/01/2016,18.21080
18/01/2016,18.23270
19/01/2016,18.19470
20/01/2016,18.60800
21/01/2016,18.50840
22/01/2016,18.42800
25/01/2016,18.53520
26/01/2016,18.47150
27/01/2016,18.45300
28/01/2016,18.29060
29/01/2016,18.19350
02/02/2016,18.49020
03/02/2016,18.45370
04/02/2016,18.18910
05/02/2016,18.37480
08/02/2016,18.69590
09/02/2016,18.78180
10/02/2016,18.80890
11/02/2016,19.17540
12/02/2016,19.03920
15/02/2016,18.84710
16/02/2016,18.81480
17/02/2016,18.38950
18/02/2016,18.14390
19/02/2016,18.27620
22/02/2016,18.05680
23/02/2016,18.19480
24/02/2016,18.28930
25/02/2016,18.16800
26/02/2016,18.17060
29/02/2016,18.10200
01/03/2016,17.94320
02/03/2016,17.85610
03/03/2016,17.89710
04/03/2016,17.77230
07/03/2016,17.75260
08/03/2016,17.90440
09/03/2016,17.75230
10/03/2016,17.86010
11/03/2016,17.70020
14/03/2016,17.76910
15/03/2016,17.92600
16/03/2016,17.93080
17/03/2016,17.40340
18/03/2016,17.29950
22/03/2016,17.33610
23/03/2016,17.52730
28/03/2016,17.46100
29/03/2016,17.40150
30/03/2016,17.25090
31/03/2016,17.23700
01/04/2016,17.33380
04/04/2016,17.44840
05/04/2016,17.72520
06/04/2016,17.72860
07/04/2016,17.89300
08/04/2016,17.73910
11/04/2016,17.64520
12/04/2016,17.57190
13/04/2016,17.49000
14/04/2016,17.38800
15/04/2016,17.56690
18/04/2016,17.45980
19/04/2016,17.28250
20/04/2016,17.30780
21/04/2016,17.42020
22/04/2016,17.43590
25/04/2016,17.58660
26/04/2016,17.42980
27/04/2016,17.39930
28/04/2016,17.21250
29/04/2016,17.17670
02/05/2016,17.22790
03/05/2016,17.52340
04/05/2016,17.73580
05/05/2016,17.78660
06/05/2016,17.92040
09/05/2016,18.10330
10/05/2016,18.02050
11/05/2016,17.95490
12/05/2016,17.99150
13/05/2016,18.15620
16/05/2016,18.17950
17/05/2016,18.32170
18/05/2016,18.37610
19/05/2016,18.54650
20/05/2016,18.38260
23/05/2016,18.44440
24/05/2016,18.46940
25/05/2016,18.45200
26/05/2016,18.45720
27/05/2016,18.45270
30/05/2016,18.47770
31/05/2016,18.41180
01/06/2016,18.52990
02/06/2016,18.60970
03/06/2016,18.62830
06/06/2016,18.58890
07/06/2016,18.50670
08/06/2016,18.14910
09/06/2016,18.27420
10/06/2016,18.50460
13/06/2016,18.79150
14/06/2016,18.98140
15/06/2016,18.86720
16/06/2016,18.99680
17/06/2016,18.85270
20/06/2016,18.65590
21/06/2016,18.64440
22/06/2016,18.53250
23/06/2016,18.32070
24/06/2016,18.87160
27/06/2016,19.12830
28/06/2016,18.91130
29/06/2016,18.55500
30/06/2016,18.46460
01/07/2016,18.30900
04/07/2016,18.38580
05/07/2016,18.75360
06/07/2016,18.81610
07/07/2016,18.86070
08/07/2016,18.59910
11/07/2016,18.45970
12/07/2016,18.30060
13/07/2016,18.39370
14/07/2016,18.30610
15/07/2016,18.49200
18/07/2016,18.48790
19/07/2016,18.57190
20/07/2016,18.57290
21/07/2016,18.60220
22/07/2016,18.60890
25/07/2016,18.75690
26/07/2016,18.81140
27/07/2016,18.86020
28/07/2016,18.89790
29/07/2016,18.78370
01/08/2016,18.85040
02/08/2016,18.89660
03/08/2016,18.91170
04/08/2016,18.86120
05/08/2016,18.86910
08/08/2016,18.57160
09/08/2016,18.38420
10/08/2016,18.34790
11/08/2016,18.26780
12/08/2016,18.24550
15/08/2016,18.03630
16/08/2016,17.98690
17/08/2016,18.25980
18/08/2016,18.08320
19/08/2016,18.26740
22/08/2016,18.30230
23/08/2016,18.32020
24/08/2016,18.49710
25/08/2016,18.44600
26/08/2016,18.28300
29/08/2016,18.57730
30/08/2016,18.79530
31/08/2016,18.86110
01/09/2016,18.85230
02/09/2016,18.65890
05/09/2016,18.55810
06/09/2016,18.35240
07/09/2016,18.36890
